Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,without concrete shoulders,120,15,40,0.15,0.6816,6.748
Single,without concrete shoulders,120,15,40,0.2,0.8457,3.8807
Single,without concrete shoulders,120,15,40,0.25,0.9998,2.5487
Single,without concrete shoulders,120,15,40,0.3,1.1463,1.8214
Single,without concrete shoulders,120,15,40,0.35,1.2867,1.3799
Single,without concrete shoulders,120,15,40,0.4,1.4223,1.091
Single,without concrete shoulders,120,15,80,0.15,0.5731,6.7702
Single,without concrete shoulders,120,15,80,0.2,0.7111,3.9063
Single,without concrete shoulders,120,15,80,0.25,0.8407,2.5773
Single,without concrete shoulders,120,15,80,0.3,0.9639,1.8527
Single,without concrete shoulders,120,15,80,0.35,1.082,1.4137
Single,without concrete shoulders,120,15,80,0.4,1.196,1.1271
Single,without concrete shoulders,120,15,150,0.15,0.4898,6.3174
Single,without concrete shoulders,120,15,150,0.2,0.6077,3.7741
Single,without concrete shoulders,120,15,150,0.25,0.7184,2.5941
Single,without concrete shoulders,120,15,150,0.3,0.8237,1.9508
Single,without concrete shoulders,120,15,150,0.35,0.9247,1.5613
Single,without concrete shoulders,120,15,150,0.4,1.0221,1.307
Single,without concrete shoulders,120,15,300,0.15,0.4119,5.7396
Single,without concrete shoulders,120,15,300,0.2,0.511,3.5524
Single,without concrete shoulders,120,15,300,0.25,0.6041,2.5449
Single,without concrete shoulders,120,15,300,0.3,0.6927,2.0013
Single,without concrete shoulders,120,15,300,0.35,0.7775,1.6764
Single,without concrete shoulders,120,15,300,0.4,0.8594,1.4679
Single,without concrete shoulders,120,20,40,0.15,0.6816,6.8965
Single,without concrete shoulders,120,20,40,0.2,0.8457,4.0292
Single,without concrete shoulders,120,20,40,0.25,0.9998,2.6972
Single,without concrete shoulders,120,20,40,0.3,1.1463,1.9699
Single,without concrete shoulders,120,20,40,0.35,1.2867,1.5284
Single,without concrete shoulders,120,20,40,0.4,1.4223,1.2395
Single,without concrete shoulders,120,20,80,0.15,0.5731,6.9187
Single,without concrete shoulders,120,20,80,0.2,0.7111,4.0548
Single,without concrete shoulders,120,20,80,0.25,0.8407,2.7258
Single,without concrete shoulders,120,20,80,0.3,0.9639,2.0012
Single,without concrete shoulders,120,20,80,0.35,1.082,1.5622
Single,without concrete shoulders,120,20,80,0.4,1.196,1.2756
Single,without concrete shoulders,120,20,150,0.15,0.4898,6.5454
Single,without concrete shoulders,120,20,150,0.2,0.6077,4.0021
Single,without concrete shoulders,120,20,150,0.25,0.7184,2.8221
Single,without concrete shoulders,120,20,150,0.3,0.8237,2.1788
Single,without concrete shoulders,120,20,150,0.35,0.9247,1.7893
Single,without concrete shoulders,120,20,150,0.4,1.0221,1.535
Single,without concrete shoulders,120,20,300,0.15,0.4119,6.0321
Single,without concrete shoulders,120,20,300,0.2,0.511,3.8449
Single,without concrete shoulders,120,20,300,0.25,0.6041,2.8374
Single,without concrete shoulders,120,20,300,0.3,0.6927,2.2938
Single,without concrete shoulders,120,20,300,0.35,0.7775,1.9689
Single,without concrete shoulders,120,20,300,0.4,0.8594,1.7604
Single,without concrete shoulders,160,0,40,0.15,0.6816,8.4782
Single,without concrete shoulders,160,0,40,0.2,0.8457,4.6591
Single,without concrete shoulders,160,0,40,0.25,0.9998,2.8865
Single,without concrete shoulders,160,0,40,0.3,1.1463,1.9198
Single,without concrete shoulders,160,0,40,0.35,1.2867,1.3341
Single,without concrete shoulders,160,0,40,0.4,1.4223,0.9514
Single,without concrete shoulders,160,0,80,0.15,0.5731,8.5004
Single,without concrete shoulders,160,0,80,0.2,0.7111,4.6846
Single,without concrete shoulders,160,0,80,0.25,0.8407,2.915
Single,without concrete shoulders,160,0,80,0.3,0.9639,1.9511
Single,without concrete shoulders,160,0,80,0.35,1.082,1.3679
Single,without concrete shoulders,160,0,80,0.4,1.196,0.9876
Single,without concrete shoulders,160,0,150,0.15,0.4898,7.5658
Single,without concrete shoulders,160,0,150,0.2,0.6077,4.1771
Single,without concrete shoulders,160,0,150,0.25,0.7184,2.6057
Single,without concrete shoulders,160,0,150,0.3,0.8237,1.75
Single,without concrete shoulders,160,0,150,0.35,0.9247,1.2322
Single,without concrete shoulders,160,0,150,0.4,1.0221,0.8947
Single,without concrete shoulders,160,0,300,0.15,0.4119,6.5374
Single,without concrete shoulders,160,0,300,0.2,0.511,3.6173
Single,without concrete shoulders,160,0,300,0.25,0.6041,2.2705
Single,without concrete shoulders,160,0,300,0.3,0.6927,1.5426
Single,without concrete shoulders,160,0,300,0.35,0.7775,1.1066
Single,without concrete shoulders,160,0,300,0.4,0.8594,0.826
Single,without concrete shoulders,160,10,40,0.15,0.6816,8.7752
Single,without concrete shoulders,160,10,40,0.2,0.8457,4.9561
Single,without concrete shoulders,160,10,40,0.25,0.9998,3.1835
Single,without concrete shoulders,160,10,40,0.3,1.1463,2.2168
Single,without concrete shoulders,160,10,40,0.35,1.2867,1.6311
Single,without concrete shoulders,160,10,40,0.4,1.4223,1.2484
Single,without concrete shoulders,160,10,80,0.15,0.5731,8.7974
Single,without concrete shoulders,160,10,80,0.2,0.7111,4.9816
Single,without concrete shoulders,160,10,80,0.25,0.8407,3.212
Single,without concrete shoulders,160,10,80,0.3,0.9639,2.2481
Single,without concrete shoulders,160,10,80,0.35,1.082,1.6649
Single,without concrete shoulders,160,10,80,0.4,1.196,1.2846
Single,without concrete shoulders,160,10,150,0.15,0.4898,8.0218
Single,without concrete shoulders,160,10,150,0.2,0.6077,4.6331
Single,without concrete shoulders,160,10,150,0.25,0.7184,3.0617
Single,without concrete shoulders,160,10,150,0.3,0.8237,2.206
Single,without concrete shoulders,160,10,150,0.35,0.9247,1.6882
Single,without concrete shoulders,160,10,150,0.4,1.0221,1.3507
Single,without concrete shoulders,160,10,300,0.15,0.4119,7.1224
Single,without concrete shoulders,160,10,300,0.2,0.511,4.2023
Single,without concrete shoulders,160,10,300,0.25,0.6041,2.8555
Single,without concrete shoulders,160,10,300,0.3,0.6927,2.1276
Single,without concrete shoulders,160,10,300,0.35,0.7775,1.6916
Single,without concrete shoulders,160,10,300,0.4,0.8594,1.411
Single,without concrete shoulders,160,15,40,0.15,0.6816,8.9237
Single,without concrete shoulders,160,15,40,0.2,0.8457,5.1046
Single,without concrete shoulders,160,15,40,0.25,0.9998,3.332
Single,without concrete shoulders,160,15,40,0.3,1.1463,2.3653
Single,without concrete shoulders,160,15,40,0.35,1.2867,1.7796
Single,without concrete shoulders,160,15,40,0.4,1.4223,1.3969
Single,without concrete shoulders,160,15,80,0.15,0.5731,8.9459
Single,without concrete shoulders,160,15,80,0.2,0.7111,5.1301
Single,without concrete shoulders,160,15,80,0.25,0.8407,3.3605
Single,without concrete shoulders,160,15,80,0.3,0.9639,2.3966
Single,without concrete shoulders,160,15,80,0.35,1.082,1.8134
Single,without concrete shoulders,160,15,80,0.4,1.196,1.4331
Single,without concrete shoulders,160,15,150,0.15,0.4898,8.2498
Single,without concrete shoulders,160,15,150,0.2,0.6077,4.8611
Single,without concrete shoulders,160,15,150,0.25,0.7184,3.2897
Single,without concrete shoulders,160,15,150,0.3,0.8237,2.434
Single,without concrete shoulders,160,15,150,0.35,0.9247,1.9162
Single,without concrete shoulders,160,15,150,0.4,1.0221,1.5787
Single,without concrete shoulders,160,15,300,0.15,0.4119,7.4149
Single,without concrete shoulders,160,15,300,0.2,0.511,4.4948
Single,without concrete shoulders,160,15,300,0.25,0.6041,3.148
Single,without concrete shoulders,160,15,300,0.3,0.6927,2.4201
Single,without concrete shoulders,160,15,300,0.35,0.7775,1.9841
Single,without concrete shoulders,160,15,300,0.4,0.8594,1.7035
Single,without concrete shoulders,160,20,40,0.15,0.6816,9.0722
Single,without concrete shoulders,160,20,40,0.2,0.8457,5.2531
Single,without concrete shoulders,160,20,40,0.25,0.9998,3.4805
Single,without concrete shoulders,160,20,40,0.3,1.1463,2.5138
Single,without concrete shoulders,160,20,40,0.35,1.2867,1.9281
Single,without concrete shoulders,160,20,40,0.4,1.4223,1.5454
Single,without concrete shoulders,160,20,80,0.15,0.5731,9.0944
Single,without concrete shoulders,160,20,80,0.2,0.7111,5.2786
Single,without concrete shoulders,160,20,80,0.25,0.8407,3.509
Single,without concrete shoulders,160,20,80,0.3,0.9639,2.5451
Single,without concrete shoulders,160,20,80,0.35,1.082,1.9619
Single,without concrete shoulders,160,20,80,0.4,1.196,1.5816
Single,without concrete shoulders,160,20,150,0.15,0.4898,8.4778
Single,without concrete shoulders,160,20,150,0.2,0.6077,5.0891
Single,without concrete shoulders,160,20,150,0.25,0.7184,3.5177
Single,without concrete shoulders,160,20,150,0.3,0.8237,2.662
Single,without concrete shoulders,160,20,150,0.35,0.9247,2.1442
Single,without concrete shoulders,160,20,150,0.4,1.0221,1.8067
Single,without concrete shoulders,160,20,300,0.15,0.4119,7.7074
Single,without concrete shoulders,160,20,300,0.2,0.511,4.7873
Single,without concrete shoulders,160,20,300,0.25,0.6041,3.4405
Single,without concrete shoulders,160,20,300,0.3,0.6927,2.7126
Single,without concrete shoulders,160,20,300,0.35,0.7775,2.2766
Single,without concrete shoulders,160,20,300,0.4,0.8594,1.996
Tandem,with concrete shoulders,160,0,40,0.15,0.6816,2.689
Tandem,with concrete shoulders,160,0,40,0.2,0.8457,1.4463
Tandem,with concrete shoulders,160,0,40,0.25,0.9998,0.8729
Tandem,with concrete shoulders,160,0,40,0.3,1.1463,0.5627
Tandem,with concrete shoulders,160,0,40,0.35,1.2867,0.3767
Tandem,with concrete shoulders,160,0,40,0.4,1.4223,0.2569
Tandem,with concrete shoulders,160,0,80,0.15,0.5731,2.6811
Tandem,with concrete shoulders,160,0,80,0.2,0.7111,1.4372
Tandem,with concrete shoulders,160,0,80,0.25,0.8407,0.8627
Tandem,with concrete shoulders,160,0,80,0.3,0.9639,0.5515
Tandem,with concrete shoulders,160,0,80,0.35,1.082,0.3647
Tandem,with concrete shoulders,160,0,80,0.4,1.196,0.244
Tandem,with concrete shoulders,160,0,150,0.15,0.4898,2.2631
Tandem,with concrete shoulders,160,0,150,0.2,0.6077,1.2076
Tandem,with concrete shoulders,160,0,150,0.25,0.7184,0.7203
Tandem,with concrete shoulders,160,0,150,0.3,0.8237,0.4564
Tandem,with concrete shoulders,160,0,150,0.35,0.9247,0.298
Tandem,with concrete shoulders,160,0,150,0.4,1.0221,0.1958
Tandem,with concrete shoulders,160,0,300,0.15,0.4119,1.8609
Tandem,with concrete shoulders,160,0,300,0.2,0.511,0.9793
Tandem,with concrete shoulders,160,0,300,0.25,0.6041,0.5739
Tandem,with concrete shoulders,160,0,300,0.3,0.6927,0.3557
Tandem,with concrete shoulders,160,0,300,0.35,0.7775,0.2257
Tandem,with concrete shoulders,160,0,300,0.4,0.8594,0.1427
Tandem,with concrete shoulders,160,10,40,0.15,0.6816,2.896
Tandem,with concrete shoulders,160,10,40,0.2,0.8457,1.6533
Tandem,with concrete shoulders,160,10,40,0.25,0.9998,1.0799
Tandem,with concrete shoulders,160,10,40,0.3,1.1463,0.7697
Tandem,with concrete shoulders,160,10,40,0.35,1.2867,0.5837
Tandem,with concrete shoulders,160,10,40,0.4,1.4223,0.4639
Tandem,with concrete shoulders,160,10,80,0.15,0.5731,2.8881
Tandem,with concrete shoulders,160,10,80,0.2,0.7111,1.6442
Tandem,with concrete shoulders,160,10,80,0.25,0.8407,1.0697
Tandem,with concrete shoulders,160,10,80,0.3,0.9639,0.7585
Tandem,with concrete shoulders,160,10,80,0.35,1.082,0.5717
Tandem,with concrete shoulders,160,10,80,0.4,1.196,0.451
Tandem,with concrete shoulders,160,10,150,0.15,0.4898,2.6271
Tandem,with concrete shoulders,160,10,150,0.2,0.6077,1.5716
Tandem,with concrete shoulders,160,10,150,0.25,0.7184,1.0843
Tandem,with concrete shoulders,160,10,150,0.3,0.8237,0.8204
Tandem,with concrete shoulders,160,10,150,0.35,0.9247,0.662
Tandem,with concrete shoulders,160,10,150,0.4,1.0221,0.5598
Tandem,with concrete shoulders,160,10,300,0.15,0.4119,2.3669
Tandem,with concrete shoulders,160,10,300,0.2,0.511,1.4853
Tandem,with concrete shoulders,160,10,300,0.25,0.6041,1.0799
Tandem,with concrete shoulders,160,10,300,0.3,0.6927,0.8617
Tandem,with concrete shoulders,160,10,300,0.35,0.7775,0.7317
Tandem,with concrete shoulders,160,10,300,0.4,0.8594,0.6487
Tandem,with concrete shoulders,160,15,40,0.15,0.6816,2.9995
Tandem,with concrete shoulders,160,15,40,0.2,0.8457,1.7568
Tandem,with concrete shoulders,160,15,40,0.25,0.9998,1.1834
Tandem,with concrete shoulders,160,15,40,0.3,1.1463,0.8732
Tandem,with concrete shoulders,160,15,40,0.35,1.2867,0.6872
Tandem,with concrete shoulders,160,15,40,0.4,1.4223,0.5674
Tandem,with concrete shoulders,160,15,80,0.15,0.5731,2.9916
Tandem,with concrete shoulders,160,15,80,0.2,0.7111,1.7477
Tandem,with concrete shoulders,160,15,80,0.25,0.8407,1.1732
Tandem,with concrete shoulders,160,15,80,0.3,0.9639,0.862
Tandem,with concrete shoulders,160,15,80,0.35,1.082,0.6752
Tandem,with concrete shoulders,160,15,80,0.4,1.196,0.5545
Tandem,with concrete shoulders,160,15,150,0.15,0.4898,2.8091
Tandem,with concrete shoulders,160,15,150,0.2,0.6077,1.7536
Tandem,with concrete shoulders,160,15,150,0.25,0.7184,1.2663
Tandem,with concrete shoulders,160,15,150,0.3,0.8237,1.0024
Tandem,with concrete shoulders,160,15,150,0.35,0.9247,0.844
Tandem,with concrete shoulders,160,15,150,0.4,1.0221,0.7418
Tandem,with concrete shoulders,160,15,300,0.15,0.4119,2.6199
Tandem,with concrete shoulders,160,15,300,0.2,0.511,1.7383
Tandem,with concrete shoulders,160,15,300,0.25,0.6041,1.3329
Tandem,with concrete shoulders,160,15,300,0.3,0.6927,1.1147
Tandem,with concrete shoulders,160,15,300,0.35,0.7775,0.9847
Tandem,with concrete shoulders,160,15,300,0.4,0.8594,0.9017
Tandem,with concrete shoulders,160,20,40,0.15,0.6816,3.103
Tandem,with concrete shoulders,160,20,40,0.2,0.8457,1.8603
Tandem,with concrete shoulders,160,20,40,0.25,0.9998,1.2869
Tandem,with concrete shoulders,160,20,40,0.3,1.1463,0.9767
Tandem,with concrete shoulders,160,20,40,0.35,1.2867,0.7907
Tandem,with concrete shoulders,160,20,40,0.4,1.4223,0.6709
Tandem,with concrete shoulders,160,20,80,0.15,0.5731,3.0951
Tandem,with concrete shoulders,160,20,80,0.2,0.7111,1.8512
Tandem,with concrete shoulders,160,20,80,0.25,0.8407,1.2767
Tandem,with concrete shoulders,160,20,80,0.3,0.9639,0.9655
Tandem,with concrete shoulders,160,20,80,0.35,1.082,0.7787
Tandem,with concrete shoulders,160,20,80,0.4,1.196,0.658
Tandem,with concrete shoulders,160,20,150,0.15,0.4898,2.9911
Tandem,with concrete shoulders,160,20,150,0.2,0.6077,1.9356
Tandem,with concrete shoulders,160,20,150,0.25,0.7184,1.4483
Tandem,with concrete shoulders,160,20,150,0.3,0.8237,1.1844
Tandem,with concrete shoulders,160,20,150,0.35,0.9247,1.026
Tandem,with concrete shoulders,160,20,150,0.4,1.0221,0.9238
Tandem,with concrete shoulders,160,20,300,0.15,0.4119,2.8729
Tandem,with concrete shoulders,160,20,300,0.2,0.511,1.9913
Tandem,with concrete shoulders,160,20,300,0.25,0.6041,1.5859
Tandem,with concrete shoulders,160,20,300,0.3,0.6927,1.3677
Tandem,with concrete shoulders,160,20,300,0.35,0.7775,1.2377
Tandem,with concrete shoulders,160,20,300,0.4,0.8594,1.1547
Tandem,with concrete shoulders,200,0,40,0.15,0.6816,3.4015
Tandem,with concrete shoulders,200,0,40,0.2,0.8457,1.8471
Tandem,with concrete shoulders,200,0,40,0.25,0.9998,1.1294
Tandem,with concrete shoulders,200,0,40,0.3,1.1463,0.7408
Tandem,with concrete shoulders,200,0,40,0.35,1.2867,0.5076
Tandem,with concrete shoulders,200,0,40,0.4,1.4223,0.3571
Tandem,with concrete shoulders,200,0,80,0.15,0.5731,3.3936
Tandem,with concrete shoulders,200,0,80,0.2,0.7111,1.8379
Tandem,with concrete shoulders,200,0,80,0.25,0.8407,1.1192
Tandem,with concrete shoulders,200,0,80,0.3,0.9639,0.7296
Tandem,with concrete shoulders,200,0,80,0.35,1.082,0.4955
Tandem,with concrete shoulders,200,0,80,0.4,1.196,0.3442
Tandem,with concrete shoulders,200,0,150,0.15,0.4898,2.8679
Tandem,with concrete shoulders,200,0,150,0.2,0.6077,1.5478
Tandem,with concrete shoulders,200,0,150,0.25,0.7184,0.938
Tandem,with concrete shoulders,200,0,150,0.3,0.8237,0.6076
Tandem,with concrete shoulders,200,0,150,0.35,0.9247,0.4091
Tandem,with concrete shoulders,200,0,150,0.4,1.0221,0.2809
Tandem,with concrete shoulders,200,0,300,0.15,0.4119,2.3683
Tandem,with concrete shoulders,200,0,300,0.2,0.511,1.2647
Tandem,with concrete shoulders,200,0,300,0.25,0.6041,0.7565
Tandem,with concrete shoulders,200,0,300,0.3,0.6927,0.4825
Tandem,with concrete shoulders,200,0,300,0.35,0.7775,0.3189
Tandem,with concrete shoulders,200,0,300,0.4,0.8594,0.214
Tandem,with concrete shoulders,200,10,40,0.15,0.6816,3.6085
Tandem,with concrete shoulders,200,10,40,0.2,0.8457,2.0541
Tandem,with concrete shoulders,200,10,40,0.25,0.9998,1.3364
Tandem,with concrete shoulders,200,10,40,0.3,1.1463,0.9478
Tandem,with concrete shoulders,200,10,40,0.35,1.2867,0.7146
Tandem,with concrete shoulders,200,10,40,0.4,1.4223,0.5641
Tandem,with concrete shoulders,200,10,80,0.15,0.5731,3.6006
Tandem,with concrete shoulders,200,10,80,0.2,0.7111,2.0449
Tandem,with concrete shoulders,200,10,80,0.25,0.8407,1.3262
Tandem,with concrete shoulders,200,10,80,0.3,0.9639,0.9366
Tandem,with concrete shoulders,200,10,80,0.35,1.082,0.7025
Tandem,with concrete shoulders,200,10,80,0.4,1.196,0.5512
Tandem,with concrete shoulders,200,10,150,0.15,0.4898,3.2319
Tandem,with concrete shoulders,200,10,150,0.2,0.6077,1.9118
Tandem,with concrete shoulders,200,10,150,0.25,0.7184,1.302
Tandem,with concrete shoulders,200,10,150,0.3,0.8237,0.9716
Tandem,with concrete shoulders,200,10,150,0.35,0.9247,0.7731
Tandem,with concrete shoulders,200,10,150,0.4,1.0221,0.6449
Tandem,with concrete shoulders,200,10,300,0.15,0.4119,2.8743
Tandem,with concrete shoulders,200,10,300,0.2,0.511,1.7707
Tandem,with concrete shoulders,200,10,300,0.25,0.6041,1.2625
Tandem,with concrete shoulders,200,10,300,0.3,0.6927,0.9885
Tandem,with concrete shoulders,200,10,300,0.35,0.7775,0.8249
Tandem,with concrete shoulders,200,10,300,0.4,0.8594,0.72
Tandem,with concrete shoulders,200,15,40,0.15,0.6816,3.712
Tandem,with concrete shoulders,200,15,40,0.2,0.8457,2.1576
Tandem,with concrete shoulders,200,15,40,0.25,0.9998,1.4399
Tandem,with concrete shoulders,200,15,40,0.3,1.1463,1.0513
Tandem,with concrete shoulders,200,15,40,0.35,1.2867,0.8181
Tandem,with concrete shoulders,200,15,40,0.4,1.4223,0.6676
Tandem,with concrete shoulders,200,15,80,0.15,0.5731,3.7041
Tandem,with concrete shoulders,200,15,80,0.2,0.7111,2.1484
Tandem,with concrete shoulders,200,15,80,0.25,0.8407,1.4297
Tandem,with concrete shoulders,200,15,80,0.3,0.9639,1.0401
Tandem,with concrete shoulders,200,15,80,0.35,1.082,0.806
Tandem,with concrete shoulders,200,15,80,0.4,1.196,0.6547
Tandem,with concrete shoulders,200,15,150,0.15,0.4898,3.4139
Tandem,with concrete shoulders,200,15,150,0.2,0.6077,2.0938
Tandem,with concrete shoulders,200,15,150,0.25,0.7184,1.484
Tandem,with concrete shoulders,200,15,150,0.3,0.8237,1.1536
Tandem,with concrete shoulders,200,15,150,0.35,0.9247,0.9551
Tandem,with concrete shoulders,200,15,150,0.4,1.0221,0.8269
Tandem,with concrete shoulders,200,15,300,0.15,0.4119,3.1273
Tandem,with concrete shoulders,200,15,300,0.2,0.511,2.0237
Tandem,with concrete shoulders,200,15,300,0.25,0.6041,1.5155
Tandem,with concrete shoulders,200,15,300,0.3,0.6927,1.2415
Tandem,with concrete shoulders,200,15,300,0.35,0.7775,1.0779
Tandem,with concrete shoulders,200,15,300,0.4,0.8594,0.973
Tandem,with concrete shoulders,200,20,40,0.15,0.6816,3.8155
Tandem,with concrete shoulders,200,20,40,0.2,0.8457,2.2611
Tandem,with concrete shoulders,200,20,40,0.25,0.9998,1.5434
Tandem,with concrete shoulders,200,20,40,0.3,1.1463,1.1548
Tandem,with concrete shoulders,200,20,40,0.35,1.2867,0.9216
Tandem,with concrete shoulders,200,20,40,0.4,1.4223,0.7711
Tandem,with concrete shoulders,200,20,80,0.15,0.5731,3.8076
Tandem,with concrete shoulders,200,20,80,0.2,0.7111,2.2519
Tandem,with concrete shoulders,200,20,80,0.25,0.8407,1.5332
Tandem,with concrete shoulders,200,20,80,0.3,0.9639,1.1436
Tandem,with concrete shoulders,200,20,80,0.35,1.082,0.9095
Tandem,with concrete shoulders,200,20,80,0.4,1.196,0.7582
Tandem,with concrete shoulders,200,20,150,0.15,0.4898,3.5959
Tandem,with concrete shoulders,200,20,150,0.2,0.6077,2.2758
Tandem,with concrete shoulders,200,20,150,0.25,0.7184,1.666
Tandem,with concrete shoulders,200,20,150,0.3,0.8237,1.3356
Tandem,with concrete shoulders,200,20,150,0.35,0.9247,1.1371
Tandem,with concrete shoulders,200,20,150,0.4,1.0221,1.0089
Tandem,with concrete shoulders,200,20,300,0.15,0.4119,3.3803
Tandem,with concrete shoulders,200,20,300,0.2,0.511,2.2767
Tandem,with concrete shoulders,200,20,300,0.25,0.6041,1.7685
Tandem,with concrete shoulders,200,20,300,0.3,0.6927,1.4945
Tandem,with concrete shoulders,200,20,300,0.35,0.7775,1.3309
Tandem,with concrete shoulders,200,20,300,0.4,0.8594,1.226
Tandem,with concrete shoulders,240,0,40,0.15,0.6816,4.114
Tandem,with concrete shoulders,240,0,40,0.2,0.8457,2.2479
Tandem,with concrete shoulders,240,0,40,0.25,0.9998,1.3859
Tandem,with concrete shoulders,240,0,40,0.3,1.1463,0.919
Tandem,with concrete shoulders,240,0,40,0.35,1.2867,0.6385
Tandem,with concrete shoulders,240,0,40,0.4,1.4223,0.4573
Tandem,with concrete shoulders,240,0,80,0.15,0.5731,4.106
Tandem,with concrete shoulders,240,0,80,0.2,0.7111,2.2387
Tandem,with concrete shoulders,240,0,80,0.25,0.8407,1.3756
Tandem,with concrete shoulders,240,0,80,0.3,0.9639,0.9078
Tandem,with concrete shoulders,240,0,80,0.35,1.082,0.6264
Tandem,with concrete shoulders,240,0,80,0.4,1.196,0.4444
Tandem,with concrete shoulders,240,0,150,0.15,0.4898,3.4726
Tandem,with concrete shoulders,240,0,150,0.2,0.6077,1.888
Tandem,with concrete shoulders,240,0,150,0.25,0.7184,1.1557
Tandem,with concrete shoulders,240,0,150,0.3,0.8237,0.7588
Tandem,with concrete shoulders,240,0,150,0.35,0.9247,0.5202
Tandem,with concrete shoulders,240,0,150,0.4,1.0221,0.3659
Tandem,with concrete shoulders,240,0,300,0.15,0.4119,2.8758
Tandem,with concrete shoulders,240,0,300,0.2,0.511,1.5501
Tandem,with concrete shoulders,240,0,300,0.25,0.6041,0.9392
Tandem,with concrete shoulders,240,0,300,0.3,0.6927,0.6094
Tandem,with concrete shoulders,240,0,300,0.35,0.7775,0.4121
Tandem,with concrete shoulders,240,0,300,0.4,0.8594,0.2854
Tandem,with concrete shoulders,240,10,40,0.15,0.6816,4.321
Tandem,with concrete shoulders,240,10,40,0.2,0.8457,2.4549
Tandem,with concrete shoulders,240,10,40,0.25,0.9998,1.5929
Tandem,with concrete shoulders,240,10,40,0.3,1.1463,1.126
Tandem,with concrete shoulders,240,10,40,0.35,1.2867,0.8455
Tandem,with concrete shoulders,240,10,40,0.4,1.4223,0.6643
Tandem,with concrete shoulders,240,10,80,0.15,0.5731,4.313
Tandem,with concrete shoulders,240,10,80,0.2,0.7111,2.4457
Tandem,with concrete shoulders,240,10,80,0.25,0.8407,1.5826
Tandem,with concrete shoulders,240,10,80,0.3,0.9639,1.1148
Tandem,with concrete shoulders,240,10,80,0.35,1.082,0.8334
Tandem,with concrete shoulders,240,10,80,0.4,1.196,0.6514
Tandem,with concrete shoulders,240,10,150,0.15,0.4898,3.8366
Tandem,with concrete shoulders,240,10,150,0.2,0.6077,2.252
Tandem,with concrete shoulders,240,10,150,0.25,0.7184,1.5197
Tandem,with concrete shoulders,240,10,150,0.3,0.8237,1.1228
Tandem,with concrete shoulders,240,10,150,0.35,0.9247,0.8842
Tandem,with concrete shoulders,240,10,150,0.4,1.0221,0.7299
Tandem,with concrete shoulders,240,10,300,0.15,0.4119,3.3818
Tandem,with concrete shoulders,240,10,300,0.2,0.511,2.0561
Tandem,with concrete shoulders,240,10,300,0.25,0.6041,1.4452
Tandem,with concrete shoulders,240,10,300,0.3,0.6927,1.1154
Tandem,with concrete shoulders,240,10,300,0.35,0.7775,0.9181
Tandem,with concrete shoulders,240,10,300,0.4,0.8594,0.7914
Tandem,with concrete shoulders,240,15,40,0.15,0.6816,4.4245
Tandem,with concrete shoulders,240,15,40,0.2,0.8457,2.5584
Tandem,with concrete shoulders,240,15,40,0.25,0.9998,1.6964
Tandem,with concrete shoulders,240,15,40,0.3,1.1463,1.2295
Tandem,with concrete shoulders,240,15,40,0.35,1.2867,0.949
Tandem,with concrete shoulders,240,15,40,0.4,1.4223,0.7678
Tandem,with concrete shoulders,240,15,80,0.15,0.5731,4.4165
Tandem,with concrete shoulders,240,15,80,0.2,0.7111,2.5492
Tandem,with concrete shoulders,240,15,80,0.25,0.8407,1.6861
Tandem,with concrete shoulders,240,15,80,0.3,0.9639,1.2183
Tandem,with concrete shoulders,240,15,80,0.35,1.082,0.9369
Tandem,with concrete shoulders,240,15,80,0.4,1.196,0.7549
Tandem,with concrete shoulders,240,15,150,0.15,0.4898,4.0186
Tandem,with concrete shoulders,240,15,150,0.2,0.6077,2.434
Tandem,with concrete shoulders,240,15,150,0.25,0.7184,1.7017
Tandem,with concrete shoulders,240,15,150,0.3,0.8237,1.3048
Tandem,with concrete shoulders,240,15,150,0.35,0.9247,1.0662
Tandem,with concrete shoulders,240,15,150,0.4,1.0221,0.9119
Tandem,with concrete shoulders,240,15,300,0.15,0.4119,3.6348
Tandem,with concrete shoulders,240,15,300,0.2,0.511,2.3091
Tandem,with concrete shoulders,240,15,300,0.25,0.6041,1.6982
Tandem,with concrete shoulders,240,15,300,0.3,0.6927,1.3684
Tandem,with concrete shoulders,240,15,300,0.35,0.7775,1.1711
Tandem,with concrete shoulders,240,15,300,0.4,0.8594,1.0444
Tandem,with concrete shoulders,240,20,40,0.15,0.6816,4.528
Tandem,with concrete shoulders,240,20,40,0.2,0.8457,2.6619
Tandem,with concrete shoulders,240,20,40,0.25,0.9998,1.7999
Tandem,with concrete shoulders,240,20,40,0.3,1.1463,1.333
Tandem,with concrete shoulders,240,20,40,0.35,1.2867,1.0525
Tandem,with concrete shoulders,240,20,40,0.4,1.4223,0.8713
Tandem,with concrete shoulders,240,20,80,0.15,0.5731,4.52
Tandem,with concrete shoulders,240,20,80,0.2,0.7111,2.6527
Tandem,with concrete shoulders,240,20,80,0.25,0.8407,1.7896
Tandem,with concrete shoulders,240,20,80,0.3,0.9639,1.3218
Tandem,with concrete shoulders,240,20,80,0.35,1.082,1.0404
Tandem,with concrete shoulders,240,20,80,0.4,1.196,0.8584
Tandem,with concrete shoulders,240,20,150,0.15,0.4898,4.2006
Tandem,with concrete shoulders,240,20,150,0.2,0.6077,2.616
