Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,with concrete shoulders,120,0,40,0.3,1.1463,0.9868
Single,with concrete shoulders,120,0,40,0.35,1.2867,0.6402
Single,with concrete shoulders,120,0,40,0.4,1.4223,0.4096
Single,with concrete shoulders,120,0,80,0.15,0.5731,4.8036
Single,with concrete shoulders,120,0,80,0.2,0.7111,2.6311
Single,with concrete shoulders,120,0,80,0.25,0.8407,1.6173
Single,with concrete shoulders,120,0,80,0.3,0.9639,1.0605
Single,with concrete shoulders,120,0,80,0.35,1.082,0.7198
Single,with concrete shoulders,120,0,80,0.4,1.196,0.4947
Single,with concrete shoulders,120,0,150,0.15,0.4898,4.2929
Single,with concrete shoulders,120,0,150,0.2,0.6077,2.3637
Single,with concrete shoulders,120,0,150,0.25,0.7184,1.4613
Single,with concrete shoulders,120,0,150,0.3,0.8237,0.9639
Single,with concrete shoulders,120,0,150,0.35,0.9247,0.6584
Single,with concrete shoulders,120,0,150,0.4,1.0221,0.4554
Single,with concrete shoulders,120,0,300,0.15,0.4119,3.4548
Single,with concrete shoulders,120,0,300,0.2,0.511,1.9822
Single,with concrete shoulders,120,0,300,0.25,0.6041,1.3028
Single,with concrete shoulders,120,0,300,0.3,0.6927,0.9355
Single,with concrete shoulders,120,0,300,0.35,0.7775,0.7153
Single,with concrete shoulders,120,0,300,0.4,0.8594,0.5736
Single,with concrete shoulders,120,10,40,0.15,0.6816,5.0175
Single,with concrete shoulders,120,10,40,0.2,0.8457,2.8369
Single,with concrete shoulders,120,10,40,0.25,0.9998,1.8161
Single,with concrete shoulders,120,10,40,0.3,1.1463,1.2528
Single,with concrete shoulders,120,10,40,0.35,1.2867,0.9062
Single,with concrete shoulders,120,10,40,0.4,1.4223,0.6756
Single,with concrete shoulders,120,10,80,0.15,0.5731,5.0696
Single,with concrete shoulders,120,10,80,0.2,0.7111,2.8971
Single,with concrete shoulders,120,10,80,0.25,0.8407,1.8833
Single,with concrete shoulders,120,10,80,0.3,0.9639,1.3265
Single,with concrete shoulders,120,10,80,0.35,1.082,0.9858
Single,with concrete shoulders,120,10,80,0.4,1.196,0.7607
Single,with concrete shoulders,120,10,150,0.15,0.4898,4.7019
Single,with concrete shoulders,120,10,150,0.2,0.6077,2.7727
Single,with concrete shoulders,120,10,150,0.25,0.7184,1.8703
Single,with concrete shoulders,120,10,150,0.3,0.8237,1.3729
Single,with concrete shoulders,120,10,150,0.35,0.9247,1.0674
Single,with concrete shoulders,120,10,150,0.4,1.0221,0.8644
Single,with concrete shoulders,120,10,300,0.15,0.4119,3.9768
Single,with concrete shoulders,120,10,300,0.2,0.511,2.5042
Single,with concrete shoulders,120,10,300,0.25,0.6041,1.8248
Single,with concrete shoulders,120,10,300,0.3,0.6927,1.4575
Single,with concrete shoulders,120,10,300,0.35,0.7775,1.2373
Single,with concrete shoulders,120,10,300,0.4,0.8594,1.0956
Single,with concrete shoulders,120,15,40,0.15,0.6816,5.1505
Single,with concrete shoulders,120,15,40,0.2,0.8457,2.9699
Single,with concrete shoulders,120,15,40,0.25,0.9998,1.9491
Single,with concrete shoulders,120,15,40,0.3,1.1463,1.3858
Single,with concrete shoulders,120,15,40,0.35,1.2867,1.0392
Single,with concrete shoulders,120,15,40,0.4,1.4223,0.8086
Single,with concrete shoulders,120,15,80,0.15,0.5731,5.2026
Single,with concrete shoulders,120,15,80,0.2,0.7111,3.0301
Single,with concrete shoulders,120,15,80,0.25,0.8407,2.0163
Single,with concrete shoulders,120,15,80,0.3,0.9639,1.4595
Single,with concrete shoulders,120,15,80,0.35,1.082,1.1188
Single,with concrete shoulders,120,15,80,0.4,1.196,0.8937
Single,with concrete shoulders,120,15,150,0.15,0.4898,4.9064
Single,with concrete shoulders,120,15,150,0.2,0.6077,2.9772
Single,with concrete shoulders,120,15,150,0.25,0.7184,2.0748
Single,with concrete shoulders,120,15,150,0.3,0.8237,1.5774
Single,with concrete shoulders,120,15,150,0.35,0.9247,1.2719
Single,with concrete shoulders,120,15,150,0.4,1.0221,1.0689
Single,with concrete shoulders,120,15,300,0.15,0.4119,4.2378
Single,with concrete shoulders,120,15,300,0.2,0.511,2.7652
Single,with concrete shoulders,120,15,300,0.25,0.6041,2.0858
Single,with concrete shoulders,120,15,300,0.3,0.6927,1.7185
Single,with concrete shoulders,120,15,300,0.35,0.7775,1.4983
Single,with concrete shoulders,120,15,300,0.4,0.8594,1.3566
Single,with concrete shoulders,120,20,40,0.15,0.6816,5.2835
Single,with concrete shoulders,120,20,40,0.2,0.8457,3.1029
Single,with concrete shoulders,120,20,40,0.25,0.9998,2.0821
Single,with concrete shoulders,120,20,40,0.3,1.1463,1.5188
Single,with concrete shoulders,120,20,40,0.35,1.2867,1.1722
Single,with concrete shoulders,120,20,40,0.4,1.4223,0.9416
Single,with concrete shoulders,120,20,80,0.15,0.5731,5.3356
Single,with concrete shoulders,120,20,80,0.2,0.7111,3.1631
Single,with concrete shoulders,120,20,80,0.25,0.8407,2.1493
Single,with concrete shoulders,120,20,80,0.3,0.9639,1.5925
Single,with concrete shoulders,120,20,80,0.35,1.082,1.2518
Single,with concrete shoulders,120,20,80,0.4,1.196,1.0267
Single,with concrete shoulders,120,20,150,0.15,0.4898,5.1109
Single,with concrete shoulders,120,20,150,0.2,0.6077,3.1817
Single,with concrete shoulders,120,20,150,0.25,0.7184,2.2793
Single,with concrete shoulders,120,20,150,0.3,0.8237,1.7819
Single,with concrete shoulders,120,20,150,0.35,0.9247,1.4764
Single,with concrete shoulders,120,20,150,0.4,1.0221,1.2734
Single,with concrete shoulders,120,20,300,0.15,0.4119,4.4988
Single,with concrete shoulders,120,20,300,0.2,0.511,3.0262
Single,with concrete shoulders,120,20,300,0.25,0.6041,2.3468
Single,with concrete shoulders,120,20,300,0.3,0.6927,1.9795
Single,with concrete shoulders,120,20,300,0.35,0.7775,1.7593
Single,with concrete shoulders,120,20,300,0.4,0.8594,1.6176
Single,with concrete shoulders,160,0,40,0.15,0.6816,6.392
Single,with concrete shoulders,160,0,40,0.2,0.8457,3.4937
Single,with concrete shoulders,160,0,40,0.25,0.9998,2.1407
Single,with concrete shoulders,160,0,40,0.3,1.1463,1.3969
Single,with concrete shoulders,160,0,40,0.35,1.2867,0.9416
Single,with concrete shoulders,160,0,40,0.4,1.4223,0.6403
Single,with concrete shoulders,160,0,80,0.15,0.5731,6.4441
Single,with concrete shoulders,160,0,80,0.2,0.7111,3.5538
Single,with concrete shoulders,160,0,80,0.25,0.8407,2.2079
Single,with concrete shoulders,160,0,80,0.3,0.9639,1.4706
Single,with concrete shoulders,160,0,80,0.35,1.082,1.0211
Single,with concrete shoulders,160,0,80,0.4,1.196,0.7254
Single,with concrete shoulders,160,0,150,0.15,0.4898,5.7457
