Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,with concrete shoulders,80,21,40,0.3,1.1463,1.1353
Single,with concrete shoulders,80,21,40,0.35,1.2867,0.8975
Single,with concrete shoulders,80,21,40,0.4,1.4223,0.7375
Single,with concrete shoulders,80,21,80,0.15,0.5731,3.7218
Single,with concrete shoulders,80,21,80,0.2,0.7111,2.2669
Single,with concrete shoulders,80,21,80,0.25,0.8407,1.5854
Single,with concrete shoulders,80,21,80,0.3,0.9639,1.209
Single,with concrete shoulders,80,21,80,0.35,1.082,0.9771
Single,with concrete shoulders,80,21,80,0.4,1.196,0.8226
Single,with concrete shoulders,80,21,150,0.15,0.4898,3.699
Single,with concrete shoulders,80,21,150,0.2,0.6077,2.4054
Single,with concrete shoulders,80,21,150,0.25,0.7184,1.7972
Single,with concrete shoulders,80,21,150,0.3,0.8237,1.4596
Single,with concrete shoulders,80,21,150,0.35,0.9247,1.2504
Single,with concrete shoulders,80,21,150,0.4,1.0221,1.11
Single,with concrete shoulders,80,21,300,0.15,0.4119,3.425
Single,with concrete shoulders,80,21,300,0.2,0.511,2.445
Single,with concrete shoulders,80,21,300,0.25,0.6041,1.9936
Single,with concrete shoulders,80,21,300,0.3,0.6927,1.7502
Single,with concrete shoulders,80,21,300,0.35,0.7775,1.6047
Single,with concrete shoulders,80,21,300,0.4,0.8594,1.5114
Single,with concrete shoulders,120,0,40,0.15,0.6816,4.7515
Single,with concrete shoulders,120,0,40,0.2,0.8457,2.5709
Single,with concrete shoulders,120,0,40,0.25,0.9998,1.5501
Single,with concrete shoulders,120,0,40,0.3,1.1463,0.9868
Single,with concrete shoulders,120,0,40,0.35,1.2867,0.6402
Single,with concrete shoulders,120,0,40,0.4,1.4223,0.4096
Single,with concrete shoulders,120,0,80,0.15,0.5731,4.8036
Single,with concrete shoulders,120,0,80,0.2,0.7111,2.6311
Single,with concrete shoulders,120,0,80,0.25,0.8407,1.6173
Single,with concrete shoulders,120,0,80,0.3,0.9639,1.0605
Single,with concrete shoulders,120,0,80,0.35,1.082,0.7198
Single,with concrete shoulders,120,0,80,0.4,1.196,0.4947
Single,with concrete shoulders,120,0,150,0.15,0.4898,4.2929
Single,with concrete shoulders,120,0,150,0.2,0.6077,2.3637
Single,with concrete shoulders,120,0,150,0.25,0.7184,1.4613
Single,with concrete shoulders,120,0,150,0.3,0.8237,0.9639
Single,with concrete shoulders,120,0,150,0.35,0.9247,0.6584
Single,with concrete shoulders,120,0,150,0.4,1.0221,0.4554
Single,with concrete shoulders,120,0,300,0.15,0.4119,3.4548
Single,with concrete shoulders,120,0,300,0.2,0.511,1.9822
Single,with concrete shoulders,120,0,300,0.25,0.6041,1.3028
Single,with concrete shoulders,120,0,300,0.3,0.6927,0.9355
Single,with concrete shoulders,120,0,300,0.35,0.7775,0.7153
Single,with concrete shoulders,120,0,300,0.4,0.8594,0.5736
Single,with concrete shoulders,120,8,40,0.15,0.6816,4.9643
Single,with concrete shoulders,120,8,40,0.2,0.8457,2.7837
Single,with concrete shoulders,120,8,40,0.25,0.9998,1.7629
Single,with concrete shoulders,120,8,40,0.3,1.1463,1.1996
Single,with concrete shoulders,120,8,40,0.35,1.2867,0.853
Single,with concrete shoulders,120,8,40,0.4,1.4223,0.6224
Single,with concrete shoulders,120,8,80,0.15,0.5731,5.0164
Single,with concrete shoulders,120,8,80,0.2,0.7111,2.8439
Single,with concrete shoulders,120,8,80,0.25,0.8407,1.8301
Single,with concrete shoulders,120,8,80,0.3,0.9639,1.2733
Single,with concrete shoulders,120,8,80,0.35,1.082,0.9326
Single,with concrete shoulders,120,8,80,0.4,1.196,0.7075
Single,with concrete shoulders,120,8,150,0.15,0.4898,4.6201
Single,with concrete shoulders,120,8,150,0.2,0.6077,2.6909
Single,with concrete shoulders,120,8,150,0.25,0.7184,1.7885
Single,with concrete shoulders,120,8,150,0.3,0.8237,1.2911
Single,with concrete shoulders,120,8,150,0.35,0.9247,0.9856
Single,with concrete shoulders,120,8,150,0.4,1.0221,0.7826
Single,with concrete shoulders,120,8,300,0.15,0.4119,3.8724
Single,with concrete shoulders,120,8,300,0.2,0.511,2.3998
Single,with concrete shoulders,120,8,300,0.25,0.6041,1.7204
Single,with concrete shoulders,120,8,300,0.3,0.6927,1.3531
Single,with concrete shoulders,120,8,300,0.35,0.7775,1.1329
Single,with concrete shoulders,120,8,300,0.4,0.8594,0.9912
Single,with concrete shoulders,120,13,40,0.15,0.6816,5.0973
Single,with concrete shoulders,120,13,40,0.2,0.8457,2.9167
Single,with concrete shoulders,120,13,40,0.25,0.9998,1.8959
Single,with concrete shoulders,120,13,40,0.3,1.1463,1.3326
